Thai,Math,Sci,Eng,Art,Social,Activity,Work,class
3.2,3.72,3.41,2.94,3.3,3.54,3.75,3.79,general
3.4,3.64,3.57,3.69,3.2,3.72,3.85,3.93,general
3.7,3.92,3.54,3.5,3.1,3.78,3.75,3.93,general
3.9,3.82,3.66,3.65,3.6,3.94,3.8,3.79,Social
3.1,3.94,3.04,3.33,3.5,3.74,3.55,3.86,calculate
3.8,3.94,3.55,3.56,3.6,3.98,4,3.64,Social
3.8,4,3.68,3.69,3.7,3.94,3.85,4,calculate
3.1,4,3.71,3.63,2.1,3.36,4,3.71,calculate
3.6,3.96,3.79,3.63,3.9,3.94,3.85,3.93,calculate
3.3,3.48,2.96,2.65,2.8,3.5,3.95,3.64,Social
4,4,3.95,3.94,4,3.94,4,4,calculate
4,4,4,4,4,3.92,4,4,calculate
3.9,4,3.93,3.94,4,3.94,3.9,4,calculate
3.6,4,3.93,4,3.8,4,3.9,3.71,calculate
4,4,4,3.98,4,4,4,4,calculate
3.8,4,3.98,3.89,4,3.84,3.95,3.93,calculate
3.3,4,3.48,3.85,3.8,3.8,3.6,3.86,calculate
4,4,3.84,3.94,4,4,4,4,calculate
4,4,4,4,4,4,3.95,4,calculate
3.9,4,3.86,4,4,3.88,4,4,calculate
2.8,2.78,3,2.59,2.5,2.78,3.4,3.36,Social
4,4,4,4,4,4,4,4,calculate
3.7,4,3.73,3.98,4,3.98,3.8,4,calculate
3.9,4,3.84,3.85,4,3.86,3.65,4,calculate
3.2,3.9,3.63,3.24,3.8,3.7,3.85,3.86,calculate
4,4,3.96,4,4,3.88,4,4,calculate
3.9,4,3.89,4,4,4,3.95,4,calculate
4,3.96,3.84,3.83,4,3.98,4,4,language
1.8,2.64,3.05,3.57,2.6,2.26,3.35,3.14,language
2.3,2.58,3,3.8,2.9,3.04,3.6,3.21,language
1.5,2.02,2.5,2.78,2.4,1.44,3.25,2.36,Social
2.6,2.76,3.1,3.35,2.5,3.06,3.55,3.86,general
2,3.12,2.33,3.33,3.4,2.48,3.5,3,Social
1.9,2.6,3.25,3.78,2.7,2.9,3.6,3.14,language
2.1,2.86,2.6,3.46,2.9,2.5,3.55,3.21,Social
3.4,3.52,3,3.61,3.1,3.16,3.35,3.57,language
3.1,4,3.4,3.93,3.3,3.62,3.75,3.57,calculate
2.7,2.94,2.98,3.69,3.2,3.36,3.5,3.57,language
2.4,2.46,2.63,3.28,3,3.12,3.45,3.5,general
2.2,2.36,2.65,3.48,2,3.04,3.25,3.36,language
3.3,3.42,3.7,3.8,2.7,3.1,3.95,3.93,Social
3.4,3.26,3.55,3.87,3.9,3.7,3.85,3.79,general
3.6,2.92,3.1,3.48,3.3,3.86,3.6,3.5,Social
2.1,1.78,2.23,2.98,3.9,2.66,3.5,2.93,general
3.4,2.48,3.63,3.91,3.2,3.46,3.6,3.86,language
3.3,2.36,3,3.63,2.5,3.16,3.55,3.71,general
3.3,2.72,3.28,3.57,3.5,3.6,3.8,3.64,Social
3.2,3,3.33,3.54,3.8,3.84,3.8,4,general
3.1,2.72,3.4,3.87,3.4,3.62,3.85,3.86,language
3.6,3.94,3.85,3.93,3.7,3.72,3.8,3.93,calculate
3.3,2.6,3.13,3.63,3,3.48,3.55,3.57,language
3.9,3.42,4,4,3.2,3.88,3.9,3.93,calculate
3.4,3.18,3.23,3.85,3.4,3.62,3.75,3.79,language
3.6,3.44,3.78,3.87,3.6,3.68,3.9,3.86,Social
2.7,3.06,2.73,3.63,3.3,2.94,3.65,3.43,Social
