gradesci,sci_term1,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
3.41,3,3,2.5,3.5,3,3.46,good
3.57,4,3.5,3.5,3,3,3.62,good
3.54,3,4,2.5,3.5,3,3.65,good
3.66,4,4,3,3.5,3,3.77,good
3.04,3,3,2,3,1.5,3.51,good
3.55,4,3.5,2.5,4,3,3.76,excellent
3.68,4,3.5,2.5,3.5,4,3.83,good
3.71,4,4,3.5,4,3,3.45,excellent
3.79,4,4,4,4,3.5,3.82,good
2.96,2,2.5,2,3.5,2,3.29,fair
3.95,4,3.5,4,4,4,3.98,good
4,4,4,4,4,4,3.99,excellent
3.93,4,4,3.5,4,4,3.95,good
3.93,4,4,4,4,3.5,3.87,excellent
4,4,4,4,4,4,4,excellent
3.98,4,4,4,4,4,3.92,good
3.48,3,3.5,2,4,3,3.71,good
3.84,4,4,3,4,3.5,3.97,good
4,4,4,4,4,4,3.99,excellent
3.86,4,4,3.5,4,3.5,3.95,good
3,3.5,3,2,3,1.5,2.9,good
4,4,4,4,4,4,4,excellent
3.73,4,3.5,3.5,3.5,3,3.9,good
3.84,4,4,3,4,4,3.89,good
3.63,4,4,3,3.5,2.5,3.65,good
3.96,4,4,4,4,4,3.98,excellent
3.89,4,4,3,4,4,3.97,good
3.84,4,4,3.5,4,3,3.95,good
3.05,4,3.5,2.5,3,3,2.8,good
3,3,3,3.5,2.5,4,3.05,good
2.5,3,2.5,2.5,2,2,2.28,good
3.1,3.5,3,3,2.5,3,3.1,good
2.33,2.5,3,2,1.5,2.5,2.89,good
3.25,3,3.5,4,4,3.5,2.98,good
2.6,3,3,2,2,3.5,2.9,good
3,3,2.5,3,2.5,3.5,3.34,good
3.4,3.5,3.5,3,3,4,3.58,fair
2.98,3,3,3.5,2.5,3,3.24,good
2.63,2.5,2,2.5,2.5,3.5,2.98,good
2.65,2.5,3,2.5,3,2.5,2.79,good
3.7,4,4,4,4,4,3.49,good
3.55,3.5,3.5,3.5,3.5,4,3.66,good
3.1,3,3,3,3,3,3.42,good
2.23,2.5,2,2,2,1.5,2.76,good
3.63,3.5,4,4,3,4,3.44,fair
3,3.5,3,3,2,2.5,3.15,fair
3.28,3,3.5,3,2.5,3.5,3.43,good
3.33,3.5,3.5,3,2.5,3,3.56,good
3.4,4,3.5,3,2.5,4,3.48,good
3.85,4,4,4,4,4,3.81,good
3.13,2.5,3.5,3.5,3,3,3.28,fair
4,4,4,4,4,4,3.78,good
3.23,3.5,3.5,2.5,2.5,3,3.53,good
3.78,3.5,4,4,3.5,3.5,3.72,good
2.73,2.5,2.5,2.5,2,3,3.18,good
3.63,3,4,4,3.5,4,3.74,good
2.88,3,3.5,2,2.5,2,3.25,good
3.18,3,3.5,2.5,4,2.5,3.6,good
3.28,3.5,3.5,2.5,3.5,2.5,3.51,good
2.55,3,2,1.5,3.5,2,2.97,good
2.93,3,3.5,2,3.5,2,3.09,good
3.03,2.5,4,2.5,3.5,2,3.36,good
2.58,2,1.5,2.5,3,2.5,2.87,good
3.85,4,4,3.5,4,4,3.87,excellent
2.98,3,2.5,2.5,3,4,3.41,good
3.58,3.5,4,3,4,3,3.81,good
3.65,4,4,3.5,4,3,3.66,excellent
2.88,2.5,3.5,2,3,2.5,3.33,good
2.45,2,2.5,2.5,2.5,2,2.77,good
3.13,3,3.5,2.5,3.5,2,3.64,good
3.68,3.5,4,4,4,3,3.8,excellent
2.5,2.5,3,2,2.5,1.5,2.84,good
3.48,3,3,3.5,4,3,3.47,good
2.9,2.5,3,1.5,3.5,3,3.53,good
3.83,4,4,3.5,4,3.5,3.61,excellent
3.7,4,4,3,4,3,3.71,good
2.6,2.5,2.5,1.5,2.5,2,3.37,fair
2.85,2.5,2,2.5,4,2.5,3.1,good
2.63,2.5,2.5,2,2.5,2,3.06,good
3.73,4,3,3.5,4,4,3.85,good
3.3,3,3,4,3,3,3.7,good
3.8,4,4,3,4,4,3.96,excellent
3.35,3.5,3.5,3,4,2,3.77,good
3.88,4,4,3.5,4,4,3.95,excellent
3.05,3,3,3,3.5,1.5,3.49,good
3.78,4,4,3,4,4,3.88,excellent
3.78,4,4,3.5,4,3.5,3.89,excellent
3.93,4,4,3.5,4,4,3.97,excellent
3.78,4,4,3,4,4,3.92,excellent
3.88,3.5,4,4,4,4,3.91,excellent
3.3,3,3.5,2.5,4,3,3.65,good
3.65,3,4,3.5,4,4,3.73,good
3.6,4,3,3.5,4,3.5,3.71,good
3.05,3,3,2.5,3.5,2.5,3.5,good
3.4,3.5,4,2.5,3.5,3,3.82,good
