gradeeng,eng_term1,eng_term2,eng_term3,eng_term4,eng_term5,total,oneteng
2.94,2,2.5,2.5,4,3.5,3.46,good
3.69,4,4,3.5,4,4,3.62,good
3.50,4,4,2,4,3.5,3.65,good
3.65,4,4,4,2,4,3.77,good
3.33,4,4,2,3.5,3,3.51,good
3.56,4,4,2.5,2.5,3.5,3.76,good
3.69,4,3.5,3.5,3.5,3,3.83,good
3.63,4,4,2.5,3.5,4,3.45,good
3.63,4,4,2.5,3,4,3.82,fair
2.65,2.5,3,3.5,1,2,3.29,good
3.94,4,3.5,4,4,4,3.98,good
4.00,4,4,4,4,4,3.99,good
3.94,4,4,3.5,4,4,3.95,good
4.00,4,4,4,4,4,3.87,good
3.98,4,4,4,4,4,4.00,excellent
3.89,4,4,3.5,3.5,4,3.92,good
3.85,4,4,3,4,4,3.71,fair
3.94,4,4,3.5,4,4,3.97,good
4.00,4,4,4,4,4,3.99,good
4.00,4,4,4,4,4,3.95,good
2.59,4,3.5,2,1.5,2.5,2.90,good
4.00,4,4,4,4,4,4.00,excellent
3.98,4,4,4,4,4,3.90,good
3.85,4,4,4,3.5,4,3.89,good
3.24,3,3.5,2.5,3,3.5,3.65,good
4.00,4,4,4,4,4,3.98,good
4.00,4,4,4,4,4,3.97,good
3.83,4,4,3,3.5,4,3.95,good
3.57,4,4,3.5,3.5,4,2.80,good
3.80,4,4,4,3.5,4,3.05,excellent
2.78,3.5,2.5,3,3,3,2.28,good
3.35,4,2,4,3,3,3.10,good
3.33,4,3.5,3.5,3,3,2.89,good
3.78,4,4,4,4,4,2.98,excellent
3.46,4,4,4,3.5,3.5,2.90,good
3.61,3.5,4,3.5,3.5,4,3.34,good
3.93,4,4,4,4,4,3.58,good
3.69,4,3.5,4,3.5,4,3.24,good
3.28,3,4,3.5,3.5,3.5,2.98,good
3.48,4,4,3.5,3.5,4,2.79,good
3.80,4,4,4,4,4,3.49,excellent
3.87,4,4,4,4,4,3.66,good
3.48,4,4,4,3.5,3,3.42,good
2.98,3,3.5,3.5,3,3,2.76,good
3.91,4,4,4,4,4,3.44,good
3.63,4,3.5,4,4,3.5,3.15,good
3.57,4,4,4,3.5,3,3.43,good
3.54,4,3.5,4,3.5,3.5,3.56,fair
3.87,4,4,4,4,4,3.48,good
3.93,4,4,4,4,4,3.81,good
3.63,4,4,4,3.5,3,3.28,good
4.00,4,4,4,4,4,3.78,good
3.85,4,4,4,3.5,3.5,3.53,good
3.87,4,4,4,3.5,4,3.72,good
3.63,4,4,4,3.5,3,3.18,good
3.93,4,4,4,4,4,3.74,excellent
2.67,3,4,2,2,3,3.25,good
3.63,4,4,2.5,3.5,4,3.60,good
3.65,4,4,3,3.5,4,3.51,good
2.65,2.5,2.5,1.5,2.5,2.5,2.97,good
2.63,3.5,2.5,1.5,1.5,2.5,3.09,fair
2.25,2.5,2.5,1,2,2,3.36,fair
1.94,2.5,2.5,1,1.5,1,2.87,fair
3.94,4,4,4,4,4,3.87,excellent
2.81,3,3,2,2,3.5,3.41,good
3.92,4,4,4,3.5,4,3.81,excellent
3.69,4,4,2.5,4,3.5,3.66,good
2.79,3.5,3,1,2.5,2.5,3.33,good
2.88,4,4,1.5,2.5,3,2.77,good
3.06,4,4,2,2.5,3,3.64,good
