gradethai,thai_term1,thai_term2,thai_term3,thai_term4,thai_term5,tatal,onetthai
3.2,3,3,3.5,3,3.5,3.46,excellent
3.4,3,3,3.5,4,3.5,3.62,good
3.7,3.5,4,4,3.5,3.5,3.65,excellent
3.9,4,4,3.5,4,4,3.77,excellent
3.1,2.5,3,3,3.5,3.5,3.51,excellent
3.8,3.5,3.5,4,4,4,3.76,excellent
3.8,3.5,4,3.5,4,4,3.83,excellent
3.1,3.5,3.5,4,2,2.5,3.45,excellent
3.6,3.5,4,3.5,3.5,3.5,3.82,excellent
3.3,3,3.5,3.5,3.5,3,3.29,good
4,4,4,4,4,4,3.98,excellent
4,4,4,4,4,4,3.99,excellent
3.9,3.5,4,4,4,4,3.95,excellent
3.6,4,4,4,2.5,3.5,3.87,excellent
4,4,4,4,4,4,4,excellent
3.8,3,4,4,4,4,3.92,excellent
3.3,3,3,3,4,3.5,3.71,excellent
4,4,4,4,4,4,3.97,excellent
4,4,4,4,4,4,3.99,excellent
3.9,4,4,4,4,3.5,3.95,excellent
2.8,3,3,3,2,3,2.9,good
4,4,4,4,4,4,4,excellent
3.7,3,3.5,4,4,4,3.9,excellent
3.9,4,3.5,4,4,4,3.89,excellent
3.2,2.5,3,3,3.5,4,3.65,excellent
4,4,4,4,4,4,3.98,excellent
3.9,4,3.5,4,4,4,3.97,excellent
4,4,4,4,4,4,3.95,excellent
1.8,1.5,1.5,2.5,2,1.5,2.8,good
2.3,1,2,3.5,3,2,3.05,fair
1.5,1,1.5,2.5,1.5,1,2.28,fair
2.6,1.5,2,3.5,3,3,3.1,good
2,1,1.5,2.5,2,3,2.89,good
1.9,1,1.5,2.5,2.5,2,2.98,good
2.1,1.5,1.5,2.5,2.5,2.5,2.9,good
3.4,2.5,3,3.5,4,4,3.34,excellent
3.1,2.5,3,3.5,3.5,3,3.58,excellent
2.7,2.5,2.5,3,3,2.5,3.24,fair
2.4,2,2,3,2,3,2.98,good
2.2,1.5,2,2.5,2.5,2.5,2.79,good
3.3,3,3.5,4,3,3,3.49,good
3.4,3,3,3.5,3.5,4,3.66,good
3.6,3,3,4,4,4,3.42,good
2.1,2,2.5,2.5,2,1.5,2.76,fair
3.4,3,2.5,4,4,3.5,3.44,fair
3.3,2.5,3.5,3.5,4,3,3.15,good
3.3,2.5,3,4,3.5,3.5,3.43,good
3.2,3,3,3,4,3,3.56,good
3.1,2,3,3.5,3.5,3.5,3.48,fair
3.6,2.5,3.5,4,4,4,3.81,good
3.3,2,2.5,4,4,4,3.28,good
3.9,3.5,4,4,4,4,3.78,good
3.4,2.5,3,4,4,3.5,3.53,good
3.6,3.5,3.5,4,4,3,3.72,good
2.7,2.5,2.5,3,3,2.5,3.18,good
3.6,3,3,4,4,4,3.74,good
2.8,2.5,2,3,3,3.5,3.25,good
3.3,3,2,4,4,3.5,3.6,excellent
3.7,3.5,3.5,4,4,3.5,3.51,good
2.5,1.5,3,2,2,4,2.97,good
2.8,2,2,3.5,3,3.5,3.09,good
3.5,3,3,4,4,3.5,3.36,good
2.6,2,3,2,3,3,2.87,good
3.7,2.5,4,4,4,4,3.87,excellent
3.3,2.5,3,4,4,3,3.41,excellent
3.8,3.5,3.5,4,4,4,3.81,excellent
3.5,2.5,3.5,4,4,3.5,3.66,excellent
2.9,2,2.5,3,3.5,3.5,3.33,good
1.9,1.5,2,3,1,2,2.77,fair
3.5,3,3.5,3.5,4,3.5,3.64,good
3.5,3,3.5,3.5,4,3.5,3.8,excellent
1.9,2.5,2.5,1,1,2.5,2.84,good
