gradesci,sci_term1 ,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
3.41,3,3,2.5,3.5,3,3.46,42
3.57,4,3.5,3.5,3,3,3.62,64
3.54,3,4,2.5,3.5,3,3.65,52
3.66,4,4,3,3.5,3,3.77,62
3.04,3,3,2,3,1.5,3.51,44
3.55,4,3.5,2.5,4,3,3.76,74
3.68,4,3.5,2.5,3.5,4,3.83,50
3.71,4,4,3.5,4,3,3.45,72
3.79,4,4,4,4,3.5,3.82,52
2.96,2,2.5,2,3.5,2,3.29,30
3.95,4,3.5,4,4,4,3.98,66
4.00,4,4,4,4,4,3.99,68
3.93,4,4,3.5,4,4,3.95,52
3.93,4,4,4,4,3.5,3.87,78
4.00,4,4,4,4,4,4.00,82
3.98,4,4,4,4,4,3.92,54
3.48,3,3.5,2,4,3,3.71,48
3.84,4,4,3,4,3.5,3.97,60
4.00,4,4,4,4,4,3.99,80
3.86,4,4,3.5,4,3.5,3.95,48
3.00,3.5,3,2,3,1.5,2.90,40
4.00,4,4,4,4,4,4.00,90
3.73,4,3.5,3.5,3.5,3,3.90,60
3.84,4,4,3,4,4,3.89,64
3.63,4,4,3,3.5,2.5,3.65,48
3.96,4,4,4,4,4,3.98,68
3.89,4,4,3,4,4,3.97,56
3.84,4,4,3.5,4,3,3.95,48
3.05,4,3.5,2.5,3,3,2.80,52
3.00,3,3,3.5,2.5,4,3.05,44
2.50,3,2.5,2.5,2,2,2.28,38
3.10,3.5,3,3,2.5,3,3.10,48
2.33,2.5,3,2,1.5,2.5,2.89,44
3.25,3,3.5,4,4,3.5,2.98,34
2.60,3,3,2,2,3.5,2.90,46
3.00,3,2.5,3,2.5,3.5,3.34,46
3.40,3.5,3.5,3,3,4,3.58,30
2.98,3,3,3.5,2.5,3,3.24,40
2.63,2.5,2,2.5,2.5,3.5,2.98,34
2.65,2.5,3,2.5,3,2.5,2.79,44
3.70,4,4,4,4,4,3.49,58
3.55,3.5,3.5,3.5,3.5,4,3.66,50
3.10,3,3,3,3,3,3.42,40
2.23,2.5,2,2,2,1.5,2.76,46
3.63,3.5,4,4,3,4,3.44,26
3.00,3.5,3,3,2,2.5,3.15,32
3.28,3,3.5,3,2.5,3.5,3.43,48
3.33,3.5,3.5,3,2.5,3,3.56,36
3.40,4,3.5,3,2.5,4,3.48,40
3.85,4,4,4,4,4,3.81,40
3.13,2.5,3.5,3.5,3,3,3.28,30
4.00,4,4,4,4,4,3.78,46
3.23,3.5,3.5,2.5,2.5,3,3.53,38
3.78,3.5,4,4,3.5,3.5,3.72,38
2.73,2.5,2.5,2.5,2,3,3.18,42
3.63,3,4,4,3.5,4,3.74,48
2.88,3,3.5,2,2.5,2,3.25,46
3.18,3,3.5,2.5,4,2.5,3.60,48
3.28,3.5,3.5,2.5,3.5,2.5,3.51,62
2.55,3,2,1.5,3.5,2,2.97,48
2.93,3,3.5,2,3.5,2,3.09,50
3.03,2.5,4,2.5,3.5,2,3.36,54
2.58,2,1.5,2.5,3,2.5,2.87,46
3.85,4,4,3.5,4,4,3.87,70
2.98,3,2.5,2.5,3,4,3.41,60
3.58,3.5,4,3,4,3,3.81,52
3.65,4,4,3.5,4,3,3.66,78
2.88,2.5,3.5,2,3,2.5,3.33,44
2.45,2,2.5,2.5,2.5,2,2.77,34
3.13,3,3.5,2.5,3.5,2,3.64,54
3.68,3.5,4,4,4,3,3.80,69
2.50,2.5,3,2,2.5,1.5,2.84,36
3.48,3,3,3.5,4,3,3.47,64
2.90,2.5,3,1.5,3.5,3,3.53,38
3.83,4,4,3.5,4,3.5,3.61,70
3.70,4,4,3,4,3,3.71,50
2.60,2.5,2.5,1.5,2.5,2,3.37,30
2.85,2.5,2,2.5,4,2.5,3.10,44
2.63,2.5,2.5,2,2.5,2,3.06,45
3.73,4,3,3.5,4,4,3.85,65
3.30,3,3,4,3,3,3.70,60
3.80,4,4,3,4,4,3.96,70
3.35,3.5,3.5,3,4,2,3.77,59
3.88,4,4,3.5,4,4,3.95,77
3.05,3,3,3,3.5,1.5,3.49,49
3.78,4,4,3,4,4,3.88,76
3.78,4,4,3.5,4,3.5,3.89,75
3.93,4,4,3.5,4,4,3.97,75
3.78,4,4,3,4,4,3.92,68
3.88,3.5,4,4,4,4,3.91,68
